 Periods ,solar_roof,temp,heat_1,elec_1,heat_2,elec_2,heat_3,elec_3
1,0,7.1,1.74E+03,1.60E+02,3.32E+02,3.20E+01,4.56E+01,4.00E+00
2,0,6.7,1.66E+03,1.60E+02,3.32E+02,3.20E+01,4.27E+01,4.00E+00
3,0,5.8,1.68E+03,1.60E+02,3.28E+02,3.20E+01,4.45E+01,4.00E+00
4,0,5.2,1.68E+03,1.60E+02,3.31E+02,3.20E+01,4.07E+01,4.00E+00
5,0,4.8,1.69E+03,1.60E+02,3.43E+02,3.20E+01,4.27E+01,4.00E+00
6,0,4.6,1.69E+03,1.60E+02,3.44E+02,3.20E+01,4.56E+01,4.00E+00
7,0,4.2,1.71E+03,7.21E+02,3.33E+02,1.44E+02,4.14E+01,1.80E+01
8,0,4.2,1.72E+03,1.44E+03,3.57E+02,2.88E+02,4.38E+01,3.60E+01
9,0.027333087,4.9,1.73E+03,7.21E+02,3.61E+02,1.44E+02,4.25E+01,1.80E+01
10,0.152358978,5,1.74E+03,5.61E+02,3.66E+02,1.12E+02,4.43E+01,1.40E+01
11,0.248552691,6.1,1.74E+03,5.61E+02,3.61E+02,1.12E+02,4.07E+01,1.40E+01
12,0.321842044,6.2,1.68E+03,1.12E+03,3.55E+02,2.24E+02,4.43E+01,2.80E+01
13,0.31212265,6.3,1.58E+03,1.60E+03,3.34E+02,3.20E+02,4.07E+01,4.00E+01
14,0.239731013,6.6,1.43E+03,7.21E+02,3.17E+02,1.44E+02,3.71E+01,1.80E+01
15,0.164792744,6.1,1.46E+03,5.61E+02,3.16E+02,1.12E+02,3.64E+01,1.40E+01
16,0.087439789,5.1,1.60E+03,5.61E+02,3.22E+02,1.12E+02,3.87E+01,1.40E+01
17,0.005579448,4.3,1.59E+03,1.12E+03,3.19E+02,2.24E+02,4.00E+01,2.80E+01
18,0,4.6,1.64E+03,1.60E+03,3.23E+02,3.20E+02,4.43E+01,4.00E+01
19,0,4.8,1.66E+03,1.12E+03,3.27E+02,2.24E+02,4.00E+01,2.80E+01
20,0,4.9,1.69E+03,9.62E+02,3.36E+02,1.92E+02,4.07E+01,2.40E+01
21,0,5,1.69E+03,5.61E+02,3.38E+02,1.12E+02,4.63E+01,1.40E+01
22,0,5.6,1.70E+03,5.61E+02,3.38E+02,1.12E+02,4.07E+01,1.40E+01
23,0,5.6,1.72E+03,5.61E+02,3.51E+02,1.12E+02,4.07E+01,1.40E+01
24,0,5.6,1.71E+03,2.41E+02,3.45E+02,4.80E+01,4.43E+01,6.00E+00
25,0,5,1.71E+03,1.60E+02,3.47E+02,3.20E+01,4.07E+01,4.00E+00
26,0,4.1,1.72E+03,1.60E+02,3.40E+02,3.20E+01,4.50E+01,4.00E+00
27,0,4.2,1.72E+03,1.60E+02,3.57E+02,3.20E+01,4.14E+01,4.00E+00
28,0,4.1,1.73E+03,1.60E+02,3.66E+02,3.20E+01,4.50E+01,4.00E+00
29,0,3.6,1.73E+03,1.60E+02,3.51E+02,3.20E+01,4.07E+01,4.00E+00
30,0,3.6,1.73E+03,1.60E+02,3.51E+02,3.20E+01,4.43E+01,4.00E+00
31,0,3.2,1.74E+03,7.21E+02,3.62E+02,1.44E+02,4.27E+01,1.80E+01
32,0,3.7,1.75E+03,1.44E+03,3.66E+02,2.88E+02,4.50E+01,3.60E+01
33,0.085218038,4.6,1.75E+03,7.21E+02,3.61E+02,1.44E+02,4.32E+01,1.80E+01
34,0.477208358,4.9,1.71E+03,5.61E+02,3.44E+02,1.12E+02,4.25E+01,1.40E+01
35,0.71381255,5.2,1.58E+03,5.61E+02,3.24E+02,1.12E+02,4.36E+01,1.40E+01
36,0.848288,5.3,1.30E+03,1.12E+03,3.21E+02,2.24E+02,3.03E+01,2.80E+01
37,0.865594168,5.3,1.29E+03,1.60E+03,3.04E+02,3.20E+02,3.32E+01,4.00E+01
38,0.809860925,5.5,1.40E+03,7.21E+02,2.97E+02,1.44E+02,3.46E+01,1.80E+01
39,0.649466022,5.8,1.43E+03,5.61E+02,3.05E+02,1.12E+02,3.57E+01,1.40E+01
40,0.317488235,5.5,1.49E+03,5.61E+02,2.89E+02,1.12E+02,3.44E+01,1.40E+01
41,0.024866844,5.4,1.47E+03,1.12E+03,2.98E+02,2.24E+02,3.82E+01,2.80E+01
42,0,5.9,1.51E+03,1.60E+03,2.97E+02,3.20E+02,3.68E+01,4.00E+01
43,0,5.3,1.50E+03,1.12E+03,3.02E+02,2.24E+02,3.82E+01,2.80E+01
44,0,4.6,1.50E+03,9.62E+02,2.99E+02,1.92E+02,3.93E+01,2.40E+01
45,0,4.7,1.49E+03,5.61E+02,2.95E+02,1.12E+02,3.50E+01,1.40E+01
46,0,4.3,1.48E+03,5.61E+02,3.00E+02,1.12E+02,3.64E+01,1.40E+01
47,0,4.2,1.50E+03,5.61E+02,3.02E+02,1.12E+02,3.98E+01,1.40E+01
48,0,3.9,1.47E+03,2.41E+02,2.91E+02,4.80E+01,3.64E+01,6.00E+00
49,0,4.1,1.41E+03,1.60E+02,2.78E+02,3.20E+01,3.37E+01,4.00E+00
50,0,5.5,1.43E+03,1.60E+02,2.90E+02,3.20E+01,3.46E+01,4.00E+00
51,0,6.5,1.46E+03,1.60E+02,2.88E+02,3.20E+01,3.93E+01,4.00E+00
52,0,5.7,1.48E+03,1.60E+02,2.91E+02,3.20E+01,3.44E+01,4.00E+00
53,0,6.3,1.54E+03,1.60E+02,2.97E+02,3.20E+01,4.00E+01,4.00E+00
54,0,6.7,1.53E+03,1.60E+02,3.03E+02,3.20E+01,3.71E+01,4.00E+00
55,0,7.9,1.52E+03,7.21E+02,2.97E+02,1.44E+02,4.07E+01,1.80E+01
56,0,9.2,1.52E+03,1.44E+03,3.00E+02,2.88E+02,3.71E+01,3.60E+01
57,0.005088106,9.4,1.51E+03,7.21E+02,3.01E+02,1.44E+02,3.86E+01,1.80E+01
58,0.024556886,10.3,1.47E+03,5.61E+02,2.88E+02,1.12E+02,3.57E+01,1.40E+01
59,0.043888098,12.1,1.44E+03,5.61E+02,2.80E+02,1.12E+02,3.37E+01,1.40E+01
60,0.060199034,11.9,1.34E+03,1.12E+03,2.79E+02,2.24E+02,3.57E+01,2.80E+01
61,0.05821236,8.9,1.24E+03,1.60E+03,2.67E+02,3.20E+02,2.76E+01,4.00E+01
62,0.056682931,6.6,8.33E+02,7.21E+02,2.41E+02,1.44E+02,1.86E+01,1.80E+01
63,0.054014303,7.5,7.23E+02,5.61E+02,2.47E+02,1.12E+02,1.58E+01,1.40E+01
64,0.027812599,8.1,1.28E+03,5.61E+02,2.65E+02,1.12E+02,3.44E+01,1.40E+01
65,0.003031433,7.6,1.44E+03,1.12E+03,2.88E+02,2.24E+02,3.64E+01,2.80E+01
66,0,6.7,1.44E+03,1.60E+03,2.91E+02,3.20E+02,3.64E+01,4.00E+01
67,0,6,1.45E+03,1.12E+03,2.89E+02,2.24E+02,3.64E+01,2.80E+01
68,0,5.7,1.47E+03,9.62E+02,2.91E+02,1.92E+02,3.50E+01,2.40E+01
69,0,5.9,1.49E+03,5.61E+02,2.97E+02,1.12E+02,3.89E+01,1.40E+01
70,0,5.9,1.50E+03,5.61E+02,2.98E+02,1.12E+02,3.82E+01,1.40E+01
71,0,5.6,1.52E+03,5.61E+02,2.98E+02,1.12E+02,3.57E+01,1.40E+01
72,0,5.1,1.53E+03,2.41E+02,3.09E+02,4.80E+01,4.07E+01,6.00E+00
73,0,4.6,1.56E+03,1.60E+02,3.12E+02,3.20E+01,3.71E+01,4.00E+00
74,0,3.5,1.59E+03,1.60E+02,3.19E+02,3.20E+01,4.07E+01,4.00E+00
75,0,3.2,1.61E+03,1.60E+02,3.19E+02,3.20E+01,4.07E+01,4.00E+00
76,0,3.5,1.63E+03,1.60E+02,3.24E+02,3.20E+01,4.07E+01,4.00E+00
77,0,3.6,1.64E+03,1.60E+02,3.32E+02,3.20E+01,4.14E+01,4.00E+00
78,0,3.6,1.66E+03,1.60E+02,3.33E+02,3.20E+01,4.20E+01,4.00E+00
79,0,3.9,1.66E+03,7.21E+02,3.35E+02,1.44E+02,4.07E+01,1.80E+01
80,0,4.5,1.68E+03,1.44E+03,3.38E+02,2.88E+02,4.07E+01,3.60E+01
81,0.004622563,5.6,1.67E+03,7.21E+02,3.40E+02,1.44E+02,4.07E+01,1.80E+01
82,0.023310905,7,1.69E+03,5.61E+02,3.46E+02,1.12E+02,4.63E+01,1.40E+01
83,0.047644948,8.6,1.70E+03,5.61E+02,3.58E+02,1.12E+02,4.07E+01,1.40E+01
84,0.066138806,9.7,1.70E+03,1.12E+03,3.64E+02,2.24E+02,4.20E+01,2.80E+01
85,0.062361665,10.9,1.70E+03,1.60E+03,3.56E+02,3.20E+02,4.32E+01,4.00E+01
86,0.061572733,10.8,1.69E+03,7.21E+02,3.55E+02,1.44E+02,4.05E+01,1.80E+01
87,0.093348466,10.8,1.49E+03,5.61E+02,3.25E+02,1.12E+02,3.60E+01,1.40E+01
88,0.096369891,10.6,1.30E+03,5.61E+02,3.11E+02,1.12E+02,3.80E+01,1.40E+01
89,0.00964216,10.5,1.40E+03,1.12E+03,3.01E+02,2.24E+02,2.96E+01,2.80E+01
90,0,10.4,1.44E+03,1.60E+03,3.03E+02,3.20E+02,3.75E+01,4.00E+01
91,0,10.8,1.46E+03,1.12E+03,2.98E+02,2.24E+02,3.44E+01,2.80E+01
92,0,10.8,1.52E+03,9.62E+02,3.05E+02,1.92E+02,4.00E+01,2.40E+01
93,0,10.5,1.52E+03,5.61E+02,3.03E+02,1.12E+02,3.71E+01,1.40E+01
94,0,10.1,1.51E+03,5.61E+02,3.03E+02,1.12E+02,3.82E+01,1.40E+01
95,0,10,1.52E+03,5.61E+02,3.06E+02,1.12E+02,3.80E+01,1.40E+01
96,0,9.8,1.54E+03,2.41E+02,3.04E+02,4.80E+01,4.07E+01,6.00E+00
97,0,9.9,1.50E+03,1.60E+02,3.03E+02,3.20E+01,3.44E+01,4.00E+00
98,0,9.8,1.49E+03,1.60E+02,2.97E+02,3.20E+01,4.00E+01,4.00E+00
99,0,9.5,1.46E+03,1.60E+02,2.90E+02,3.20E+01,3.39E+01,4.00E+00
100,0,9.9,1.44E+03,1.60E+02,2.81E+02,3.20E+01,3.55E+01,4.00E+00
101,0,9.9,1.48E+03,1.60E+02,2.92E+02,3.20E+01,3.64E+01,4.00E+00
102,0,9.2,1.47E+03,1.60E+02,2.91E+02,3.20E+01,3.64E+01,4.00E+00
103,0,9,1.46E+03,7.21E+02,2.86E+02,1.44E+02,3.57E+01,1.80E+01
104,0,9.3,1.46E+03,1.44E+03,2.95E+02,2.88E+02,3.75E+01,3.60E+01
105,0.042756223,9.9,1.44E+03,7.21E+02,2.90E+02,1.44E+02,3.82E+01,1.80E+01
106,0.2476633,10,1.41E+03,5.61E+02,2.76E+02,1.12E+02,3.30E+01,1.40E+01
107,0.376859951,10.5,1.29E+03,5.61E+02,2.66E+02,1.12E+02,3.32E+01,1.40E+01
108,0.446400874,10.6,5.68E+02,1.12E+03,2.28E+02,2.24E+02,1.11E+01,2.80E+01
109,0.4655989,11.3,1.03E+03,1.60E+03,2.56E+02,3.20E+02,2.85E+01,4.00E+01
110,0.433689666,11.3,9.62E+02,7.21E+02,2.45E+02,1.44E+02,2.35E+01,1.80E+01
111,0.246200923,11.1,1.29E+03,5.61E+02,2.63E+02,1.12E+02,3.19E+01,1.40E+01
112,0.122483504,11.4,1.38E+03,5.61E+02,2.77E+02,1.12E+02,3.57E+01,1.40E+01
113,0.008957174,11.2,1.38E+03,1.12E+03,2.85E+02,2.24E+02,3.53E+01,2.80E+01
114,0,10.9,1.40E+03,1.60E+03,2.81E+02,3.20E+02,3.44E+01,4.00E+01
115,0,10.9,1.42E+03,1.12E+03,2.85E+02,2.24E+02,3.39E+01,2.80E+01
116,0,11.1,1.43E+03,9.62E+02,2.91E+02,1.92E+02,3.64E+01,2.40E+01
117,0,10.8,1.43E+03,5.61E+02,2.87E+02,1.12E+02,3.82E+01,1.40E+01
118,0,9.7,1.45E+03,5.61E+02,2.88E+02,1.12E+02,3.69E+01,1.40E+01
119,0,9.8,1.48E+03,5.61E+02,2.98E+02,1.12E+02,3.71E+01,1.40E+01
